horizon,MAE,RMSE,MAPE,samples
1262,2.1993498073474633,2.88648943458737,19.79207563828869,1842
1263,2.199100597076759,2.886216048264063,19.790703209147694,1842
1264,2.198851811172397,2.8859430757582394,19.789333420949287,1842
1265,2.198603551317876,2.8856705451664264,19.78796793600499,1842
1266,2.19835597071777,2.8853985047074566,19.78660933856576,1842
1267,2.198109364303865,2.8851270107929374,19.785262153163952,1842
1268,2.1978633837673063,2.8848560150590314,19.783922514209067,1842
1269,2.1976173194865867,2.884585084109002,19.782584588860885,1842
1270,2.1973706181446326,2.8843136201999107,19.78124433697355,1842
1271,2.1971231691682793,2.8840415010923324,19.779900672281833,1842
1272,2.196874577091251,2.8837683998343775,19.778548622233423,1842
1273,2.1966247622144723,2.8834944944849776,19.777185528104532,1842
1274,2.196374308439566,2.8832200368394987,19.77581709622658,1842
1275,2.196124193038602,2.8829459091141856,19.77445050143456,1842
1276,2.1958749163946187,2.8826728464461215,19.773088454632365,1842
1277,2.195626403992999,2.8824006961867794,19.771730669719936,1842
1278,2.195378788045786,2.8821295808522547,19.77037807642515,1842
1279,2.195132056719178,2.8818594293529025,19.769030786584324,1842
1280,2.1948862132574596,2.881590177435748,19.767689065426463,1842
1281,2.194641260336312,2.8813217829751663,19.766353108616848,1842
1282,2.194397448225665,2.8810543204074324,19.765025440845925,1842
1283,2.1941546971746835,2.8807875886702687,19.763706177738538,1842
1284,2.1939130526754202,2.8805214948547953,19.762396491802797,1842
1285,2.1936724787202015,2.880256052780679,19.761095728924733,1842
1286,2.193432902132877,2.879991236204279,19.75980305256991,1842
1287,2.1931940660662876,2.8797269083443404,19.75851614287723,1842
1288,2.192955879969266,2.8794630349275954,19.757234081101327,1842
1289,2.1927182527757925,2.8791995876727707,19.75595589105696,1842
1290,2.192480950377108,2.8789365204307145,19.754678991549742,1842
1291,2.1922440433962045,2.8786738372322036,19.75340442638056,1842
1292,2.1920069591281894,2.8784114006689823,19.752125891755707,1842
1293,2.191768904212925,2.8781485828325795,19.750837186309568,1842
1294,2.19152933409455,2.877884589547359,19.749535461412012,1842
1295,2.191288124161572,2.8776191720813853,19.748220289502914,1842
1296,2.1910453419784837,2.877352241849354,19.746892895058473,1842
1297,2.1908013588743693,2.8770839212044765,19.745557116687287,1842
1298,2.190556923526664,2.8768147922265044,19.744218829303826,1842
1299,2.1903127707748546,2.8765458931214947,19.742882146982794,1842
1300,2.19006896483124,2.8762773343511325,19.7415473795626,1842
1301,2.1898257148610676,2.876009457533103,19.74021557612553,1842
1302,2.1895831364874425,2.8757424037065613,19.738887436537865,1842
1303,2.1893412545162505,2.8754761976965075,19.73756312788212,1842
1304,2.1891001119993247,2.8752108671811656,19.736242984746884,1842
1305,2.1888597787526893,2.8749464444911794,19.734927600543255,1842
1306,2.1886204318472586,2.8746830105176753,19.733618547864378,1842
1307,2.1883819573062233,2.8744203343850594,19.732315528615718,1842
1308,2.1881443224702104,2.874158282992175,19.731018844754328,1842
1309,2.187907642387423,2.8738968455624554,19.729729991607147,1842
1310,2.187671902540949,2.8736359571797827,19.728449226261898,1842
1311,2.1874369895679133,2.8733755353279946,19.72717570279865,1842
1312,2.1872028548342914,2.8731155764457386,19.725908804088245,1842
1313,2.1869693758253677,2.8728560405416244,19.724647257704355,1842
1314,2.18673637918386,2.872596885214002,19.723389194364422,1842
1315,2.1865036202238453,2.872338084176743,19.722131677265267,1842
1316,2.186270715220555,2.872079497624688,19.72087083574771,1842
1317,2.1860368374743824,2.8718204582245535,19.71960020999581,1842
1318,2.1858014343842167,2.87156018151293,19.718316726434495,1842
1319,2.18556450017529,2.871298650775841,19.717020386353585,1842
1320,2.1853259743591624,2.871035721494731,19.715711083317117,1842
1321,2.185086298173928,2.8707715850428595,19.7143932953212,1842
1322,2.184846289379528,2.870506870971549,19.713073525806518,1842
1323,2.184606629586632,2.870242510898924,19.7117556802177,1842
1324,2.1843674879006576,2.8699787733387083,19.71044062632233,1842
1325,2.1841291721781824,2.869716148496658,19.709129944658095,1842
1326,2.1838917549880197,2.8694546637331197,19.70782423638792,1842
1327,2.183655295009733,2.8691944064827717,19.706523821380273,1842
1328,2.183420123724523,2.8689357633119776,19.705230817182002,1842
1329,2.1831862232355603,2.8686786651136056,19.70394525490913,1842
1330,2.1829537192596336,2.8684229929862552,19.702668867246857,1842
1331,2.1827225636159393,2.868168449879977,19.70140236030114,1842
1332,2.1824926853076514,2.867914779423594,19.700146196023947,1842
1333,2.1822640975998713,2.867661857964096,19.698901299197267,1842
1334,2.1820366553145867,2.867409634189607,19.69766606333984,1842
1335,2.1818100953170916,2.8671579556917175,19.696438057414355,1842
1336,2.1815844553057833,2.866906855124229,19.695217494251956,1842
1337,2.1813595938375507,2.8666562512767335,19.694003128404507,1842
1338,2.181135356535533,2.8664060684409134,19.692793597463552,1842
1339,2.1809116601116174,2.8661562819367434,19.691588166510346,1842
1340,2.180687998484824,2.8659067301861314,19.690381566249133,1842
1341,2.1804635421402567,2.86565668791236,19.68916760308883,1842
1342,2.180237701412903,2.865405238782339,19.687943250519048,1842
1343,2.180010436737948,2.8651522105592244,19.686708711974134,1842
1344,2.1797818958849198,2.8648977309384214,19.6854651941111,1842
1345,2.179552470472377,2.8646420813859503,19.68421596610397,1842
1346,2.179322981391202,2.864386164037263,19.68296647166904,1842
1347,2.179094009282933,2.8641309027940114,19.681719693103357,1842
1348,2.1788656470588577,2.8638764392241507,19.680476122143112,1842
1349,2.178638058816548,2.863623017388116,19.679236644911427,1842
1350,2.178411446956954,2.8633708441468153,19.678002608699437,1842
1351,2.1781857630960606,2.8631198529269852,19.67677373683114,1842
1352,2.177961035741588,2.8628700249208037,19.675550361479644,1842
