,usageDateId,meteringPointTypeCode,productionGroup,installedCapacity
91477,2021-06-04,E19,solar,428.0
92252,2021-06-05,E18,thermal,4300.0
92253,2021-06-05,E18,wind,3750.0
92254,2021-06-05,E18,hydro,221501.0
92255,2021-06-05,E19,solar,428.0
93100,2021-06-06,E19,solar,428.0
93101,2021-06-06,E18,wind,3750.0
93102,2021-06-06,E18,hydro,221501.0
93103,2021-06-06,E18,thermal,4300.0
93486,2021-06-07,E18,hydro,221501.0
93487,2021-06-07,E19,solar,428.0
93488,2021-06-07,E18,thermal,4300.0
93489,2021-06-07,E18,wind,3750.0
94705,2021-06-08,E18,wind,3750.0
94706,2021-06-08,E18,hydro,221501.0
94707,2021-06-08,E19,solar,428.0
94708,2021-06-08,E18,thermal,4300.0
94965,2021-06-09,E18,thermal,4300.0
94966,2021-06-09,E18,hydro,221501.0
94967,2021-06-09,E19,solar,428.0
94968,2021-06-09,E18,wind,3750.0
96144,2021-06-10,E18,wind,3750.0
96145,2021-06-10,E18,thermal,4300.0
96146,2021-06-10,E18,hydro,221501.0
96147,2021-06-10,E19,solar,428.0
96377,2021-06-11,E18,thermal,4300.0
96378,2021-06-11,E18,hydro,221501.0
96379,2021-06-11,E18,wind,3750.0
96380,2021-06-11,E19,solar,428.0
97195,2021-06-12,E18,hydro,221501.0
97196,2021-06-12,E18,wind,3750.0
97197,2021-06-12,E19,solar,428.0
97198,2021-06-12,E18,thermal,4300.0
97893,2021-06-13,E18,wind,3750.0
97894,2021-06-13,E19,solar,428.0
97895,2021-06-13,E18,thermal,4300.0
97896,2021-06-13,E18,hydro,221501.0
98546,2021-06-14,E19,solar,428.0
98547,2021-06-14,E18,thermal,4300.0
98548,2021-06-14,E18,hydro,221501.0
98549,2021-06-14,E18,wind,3750.0
99619,2021-06-15,E18,hydro,221501.0
99620,2021-06-15,E19,solar,428.0
99621,2021-06-15,E18,wind,3750.0
99622,2021-06-15,E18,thermal,4300.0
99939,2021-06-16,E18,thermal,4300.0
99940,2021-06-16,E19,solar,428.0
99941,2021-06-16,E18,wind,3750.0
99942,2021-06-16,E18,hydro,221501.0
100845,2021-06-17,E19,solar,428.0
100846,2021-06-17,E18,wind,3750.0
100847,2021-06-17,E18,thermal,4300.0
100848,2021-06-17,E18,hydro,221501.0
101475,2021-06-18,E19,solar,428.0
101476,2021-06-18,E18,thermal,4300.0
101477,2021-06-18,E18,wind,3750.0
101478,2021-06-18,E18,hydro,221501.0
102193,2021-06-19,E19,solar,428.0
102194,2021-06-19,E18,wind,3750.0
102195,2021-06-19,E18,hydro,221501.0
102196,2021-06-19,E18,thermal,4300.0
102785,2021-06-20,E18,wind,3750.0
102786,2021-06-20,E18,hydro,221501.0
102787,2021-06-20,E18,thermal,4300.0
102788,2021-06-20,E19,solar,428.0
103556,2021-06-21,E18,hydro,221501.0
103557,2021-06-21,E18,wind,3750.0
103558,2021-06-21,E19,solar,428.0
103559,2021-06-21,E18,thermal,4300.0
104691,2021-06-22,E18,wind,3750.0
104692,2021-06-22,E19,solar,428.0
104693,2021-06-22,E18,hydro,221501.0
104694,2021-06-22,E18,thermal,4300.0
104953,2021-06-23,E18,thermal,4300.0
104954,2021-06-23,E18,hydro,221501.0
104955,2021-06-23,E19,solar,428.0
104956,2021-06-23,E18,wind,3750.0
105727,2021-06-24,E18,hydro,221501.0
105728,2021-06-24,E18,wind,3750.0
105729,2021-06-24,E19,solar,428.0
105730,2021-06-24,E18,thermal,4300.0
106736,2021-06-25,E18,thermal,4300.0
106737,2021-06-25,E18,hydro,221501.0
106738,2021-06-25,E19,solar,428.0
106739,2021-06-25,E18,wind,3750.0
107278,2021-06-26,E18,hydro,221501.0
107279,2021-06-26,E18,wind,3750.0
107280,2021-06-26,E18,thermal,4300.0
107281,2021-06-26,E19,solar,428.0
107850,2021-06-27,E18,hydro,221501.0
107851,2021-06-27,E18,wind,3750.0
107852,2021-06-27,E19,solar,428.0
107853,2021-06-27,E18,thermal,4300.0
108543,2021-06-28,E18,wind,3750.0
108544,2021-06-28,E18,thermal,4300.0
108545,2021-06-28,E19,solar,428.0
108546,2021-06-28,E18,hydro,221501.0
109275,2021-06-29,E18,hydro,221501.0
109276,2021-06-29,E19,solar,428.0
109277,2021-06-29,E18,thermal,4300.0
109278,2021-06-29,E18,wind,3750.0
109999,2021-06-30,E18,wind,3750.0
110000,2021-06-30,E18,thermal,4300.0
110001,2021-06-30,E19,solar,428.0
110002,2021-06-30,E18,hydro,221501.0
111330,2021-07-01,E18,hydro,221501.0
111331,2021-07-01,E19,solar,428.0
111332,2021-07-01,E18,wind,3750.0
111333,2021-07-01,E18,thermal,4300.0
111409,2021-07-02,E18,wind,3750.0
111410,2021-07-02,E18,hydro,221501.0
111411,2021-07-02,E18,thermal,4300.0
111412,2021-07-02,E19,solar,428.0
112150,2021-07-03,E18,hydro,221501.0
112151,2021-07-03,E18,thermal,4300.0
112152,2021-07-03,E19,solar,428.0
112153,2021-07-03,E18,wind,3750.0
113374,2021-07-04,E18,wind,3750.0
113375,2021-07-04,E18,thermal,4300.0
113376,2021-07-04,E19,solar,428.0
113377,2021-07-04,E18,hydro,221501.0
113578,2021-07-05,E18,wind,3750.0
113579,2021-07-05,E18,thermal,4300.0
113580,2021-07-05,E19,solar,428.0
113581,2021-07-05,E18,hydro,221501.0
114610,2021-07-06,E18,thermal,4300.0
114611,2021-07-06,E18,hydro,221501.0
114612,2021-07-06,E19,solar,428.0
114613,2021-07-06,E18,wind,3750.0
115053,2021-07-07,E19,solar,428.0
115054,2021-07-07,E18,thermal,4300.0
115055,2021-07-07,E18,wind,3750.0
